date_time,deposited,withdrawn,net_deposit,accumulated_deposited,accumulated_withdrawn,accumulated_net_deposited
2024-08-30,331.38125991855,660.40443832616,-329.02317840761,63987.3041814244,26776.767505639004,37210.53667578539
2024-08-29,406.70070460999,14.95085027296,391.74985433703,63655.92292150585,26116.363067312843,37539.559854193
2024-08-28,425.21546190953,171.13502246934,254.08043944019002,63249.22221689586,26101.412217039884,37147.80999985597
2024-08-27,660.8272918679902,326.34822098697,334.4790708810202,62824.00675498633,25930.277194570543,36893.72956041578
2024-08-26,288.37190183853,19.919884458,268.45201738053,62163.179463118344,25603.928973583574,36559.25048953476
2024-08-25,3.44836222182,0,3.44836222182,61874.80756127981,25584.009089125575,36290.79847215423
2024-08-24,28.356751867499998,0,28.356751867499998,61871.359199057995,25584.009089125575,36287.35010993241
2024-08-23,389.51734268961,56.67961782595,332.83772486366,61843.0024471905,25584.009089125575,36258.993358064916
2024-08-22,75.12097347623,32.54558605599,42.575387420240006,61453.48510450089,25527.329471299625,35926.155633201255
2024-08-21,191.7242395676,13.456572130569999,178.26766743702998,61378.36413102466,25494.783885243636,35883.58024578101
2024-08-20,522.6046775413499,36.82850365558,485.77617388576994,61186.63989145706,25481.327313113066,35705.31257834398
2024-08-19,86.36999999999,115.99869248171001,-29.62869248172001,60664.03521391571,25444.498809457487,35219.53640445821
2024-08-18,146.65000000000003,0,146.65000000000003,60577.66521391572,25328.500116975778,35249.16509693993
2024-08-17,0,19.199961137989998,-19.199961137989998,60431.01521391572,25328.500116975778,35102.515096939926
2024-08-16,31.506342977990002,6.95021719504,24.55612578295,60431.01521391572,25309.300155837787,35121.71505807791
2024-08-15,173.42034745977,0,173.42034745977,60399.50887093773,25302.349938642747,35097.158932294966
2024-08-14,56.95091871998999,4.23486244865,52.716056271339994,60226.08852347796,25302.349938642747,34923.7385848352
2024-08-13,289.75005857998997,240.78357438967,48.96648419031996,60169.137604757976,25298.115076194095,34871.02252856386
2024-08-12,4.38956993,103.67472108922,-99.28515115921999,59879.38754617798,25057.331501804427,34822.05604437354
2024-08-11,110.75346195866999,7.1638689618099995,103.58959299685999,59874.997976247985,24953.656780715206,34921.34119553276
2024-08-10,27.370906726359998,28.992428278890003,-1.6215215525300053,59764.24451428931,24946.492911753397,34817.7516025359
2024-08-09,54.99091872,41.43375187203,13.557166847970002,59736.87360756295,24917.50048347451,34819.37312408843
2024-08-08,239.09740244637,79.26785377115999,159.82954867521002,59681.88268884295,24876.066731602477,34805.81595724046
2024-08-07,490.35248598998993,5.99343285221,484.35905313777994,59442.785286396575,24796.798877831316,34645.98640856525
2024-08-06,995.43338525512,383.0802418603,612.35314339482,58952.43280040658,24790.805444979105,34161.627355427474
2024-08-05,273.58755497024,131.80948638142002,141.77806858881996,57956.99941515146,24407.725203118804,33549.27421203265
2024-08-04,86.98193793445,0,86.98193793445,57683.41186018122,24275.915716737385,33407.49614344383
