Rolling 7 day,SSV Token Holders,Change in 1 Day,Date
+3🔼,1135,3,2022-06-28 00:00:00
+19🔼,1132,1,2022-06-27 00:00:00
+18🔼,1131,6,2022-06-26 00:00:00
-33⏬,1125,4,2022-06-25 00:00:00
-33⏬,1121,-13,2022-06-24 00:00:00
-18🔽,1134,-3,2022-06-23 00:00:00
-16🔽,1137,5,2022-06-22 00:00:00
-19🔽,1132,19,2022-06-21 00:00:00
-31⏬,1113,0,2022-06-20 00:00:00
-30⏬,1113,-45,2022-06-19 00:00:00
+38⏫,1158,4,2022-06-18 00:00:00
+37⏫,1154,2,2022-06-17 00:00:00
+35⏫,1152,-1,2022-06-16 00:00:00
+41⏫,1153,2,2022-06-15 00:00:00
+37⏫,1151,7,2022-06-14 00:00:00
+25⏫,1144,1,2022-06-13 00:00:00
+22⏫,1143,23,2022-06-12 00:00:00
-1🔽,1120,3,2022-06-11 00:00:00
-4🔽,1117,0,2022-06-10 00:00:00
-3🔽,1117,5,2022-06-09 00:00:00
-6🔽,1112,-2,2022-06-08 00:00:00
-5🔽,1114,-5,2022-06-07 00:00:00
+4🔼,1119,-2,2022-06-06 00:00:00
+6🔼,1121,0,2022-06-05 00:00:00
+11🔼,1121,0,2022-06-04 00:00:00
+17🔼,1121,1,2022-06-03 00:00:00
+15🔼,1120,2,2022-06-02 00:00:00
+15🔼,1118,-1,2022-06-01 00:00:00
+16🔼,1119,4,2022-05-31 00:00:00
+13🔼,1115,0,2022-05-30 00:00:00
+15🔼,1115,5,2022-05-29 00:00:00
+11🔼,1110,6,2022-05-28 00:00:00
+13🔼,1104,-1,2022-05-27 00:00:00
🔥+52🔥,1105,2,2022-05-26 00:00:00
🔥+60🔥,1103,0,2022-05-25 00:00:00
🔥+63🔥,1103,1,2022-05-24 00:00:00
🔥+65🔥,1102,2,2022-05-23 00:00:00
🔥+60🔥,1100,1,2022-05-22 00:00:00
🔥+60🔥,1099,8,2022-05-21 00:00:00
🔥+57🔥,1091,38,2022-05-20 00:00:00
+27⏫,1053,10,2022-05-19 00:00:00
+26⏫,1043,3,2022-05-18 00:00:00
+29⏫,1040,3,2022-05-17 00:00:00
+20⏫,1037,-3,2022-05-16 00:00:00
+37⏫,1040,1,2022-05-15 00:00:00
+49⏫,1039,5,2022-05-14 00:00:00
🔥+77🔥,1034,8,2022-05-13 00:00:00
+105🚀,1026,9,2022-05-12 00:00:00
+137🚀,1017,6,2022-05-11 00:00:00
🤯+214🚀,1011,-6,2022-05-10 00:00:00
🤯+261🚀,1017,14,2022-05-09 00:00:00
🤯+248🚀,1003,13,2022-05-08 00:00:00
🤯+242🚀,990,33,2022-05-07 00:00:00
🤯+206🚀,957,36,2022-05-06 00:00:00
+168🚀,921,41,2022-05-05 00:00:00
+128🚀,880,83,2022-05-04 00:00:00
+42⏫,797,41,2022-05-03 00:00:00
-6🔽,756,1,2022-05-02 00:00:00
-4🔽,755,7,2022-05-01 00:00:00
-11🔽,748,-3,2022-04-30 00:00:00
-8🔽,751,-2,2022-04-29 00:00:00
-7🔽,753,1,2022-04-28 00:00:00
-3🔽,752,-3,2022-04-27 00:00:00
-1🔽,755,-7,2022-04-26 00:00:00
+8🔼,762,3,2022-04-25 00:00:00
+9🔼,759,0,2022-04-24 00:00:00
+6🔼,759,0,2022-04-23 00:00:00
+6🔼,759,-1,2022-04-22 00:00:00
+8🔼,760,5,2022-04-21 00:00:00
+1🔼,755,-1,2022-04-20 00:00:00
+5🔼,756,2,2022-04-19 00:00:00
+3🔼,754,4,2022-04-18 00:00:00
0🔽,750,-3,2022-04-17 00:00:00
+4🔼,753,0,2022-04-16 00:00:00
+4🔼,753,1,2022-04-15 00:00:00
+4🔼,752,-2,2022-04-14 00:00:00
+10🔼,754,3,2022-04-13 00:00:00
+17🔼,751,0,2022-04-12 00:00:00
+20⏫,751,1,2022-04-11 00:00:00
+21⏫,750,1,2022-04-10 00:00:00
+22⏫,749,0,2022-04-09 00:00:00
+20⏫,749,1,2022-04-08 00:00:00
+22⏫,748,4,2022-04-07 00:00:00
+19🔼,744,10,2022-04-06 00:00:00
+4🔼,734,3,2022-04-05 00:00:00
+9🔼,731,2,2022-04-04 00:00:00
+11🔼,729,2,2022-04-03 00:00:00
+21⏫,727,-2,2022-04-02 00:00:00
+18🔼,729,3,2022-04-01 00:00:00
+14🔼,726,1,2022-03-31 00:00:00
+15🔼,725,-5,2022-03-30 00:00:00
+23⏫,730,8,2022-03-29 00:00:00
+14🔼,722,4,2022-03-28 00:00:00
+13🔼,718,12,2022-03-27 00:00:00
+5🔼,706,-5,2022-03-26 00:00:00
+11🔼,711,-1,2022-03-25 00:00:00
+22⏫,712,2,2022-03-24 00:00:00
+29⏫,710,3,2022-03-23 00:00:00
+27⏫,707,-1,2022-03-22 00:00:00
+37⏫,708,3,2022-03-21 00:00:00
+42⏫,705,4,2022-03-20 00:00:00
+41⏫,701,1,2022-03-19 00:00:00
+40⏫,700,10,2022-03-18 00:00:00
+37⏫,690,9,2022-03-17 00:00:00
+31⏫,681,1,2022-03-16 00:00:00
+44⏫,680,9,2022-03-15 00:00:00
+37⏫,671,8,2022-03-14 00:00:00
+37⏫,663,3,2022-03-13 00:00:00
+34⏫,660,0,2022-03-12 00:00:00
+39⏫,660,7,2022-03-11 00:00:00
+36⏫,653,3,2022-03-10 00:00:00
+35⏫,650,14,2022-03-09 00:00:00
+20⏫,636,2,2022-03-08 00:00:00
+24⏫,634,8,2022-03-07 00:00:00
+21⏫,626,0,2022-03-06 00:00:00
+21⏫,626,5,2022-03-05 00:00:00
+17🔼,621,4,2022-03-04 00:00:00
+18🔼,617,2,2022-03-03 00:00:00
+4🔼,615,-1,2022-03-02 00:00:00
+3🔼,616,6,2022-03-01 00:00:00
-7🔽,610,5,2022-02-28 00:00:00
-11🔽,605,0,2022-02-27 00:00:00
+2🔼,605,1,2022-02-26 00:00:00
+3🔼,604,5,2022-02-25 00:00:00
0🔽,599,-12,2022-02-24 00:00:00
+10🔼,611,-2,2022-02-23 00:00:00
+30⏫,613,-4,2022-02-22 00:00:00
+39⏫,617,1,2022-02-21 00:00:00
+40⏫,616,13,2022-02-20 00:00:00
+30⏫,603,2,2022-02-19 00:00:00
+30⏫,601,2,2022-02-18 00:00:00
+32⏫,599,-2,2022-02-17 00:00:00
+40⏫,601,18,2022-02-16 00:00:00
+27⏫,583,5,2022-02-15 00:00:00
+27⏫,578,2,2022-02-14 00:00:00
+30⏫,576,3,2022-02-13 00:00:00
+29⏫,573,2,2022-02-12 00:00:00
+38⏫,571,4,2022-02-11 00:00:00
+35⏫,567,6,2022-02-10 00:00:00
+32⏫,561,5,2022-02-09 00:00:00
+29⏫,556,5,2022-02-08 00:00:00
+23⏫,551,5,2022-02-07 00:00:00
+21⏫,546,2,2022-02-06 00:00:00
+18🔼,544,11,2022-02-05 00:00:00
+9🔼,533,1,2022-02-04 00:00:00
+9🔼,532,3,2022-02-03 00:00:00
+10🔼,529,2,2022-02-02 00:00:00
+11🔼,527,-1,2022-02-01 00:00:00
+20⏫,528,3,2022-01-31 00:00:00
+24⏫,525,-1,2022-01-30 00:00:00
+39⏫,526,2,2022-01-29 00:00:00
+38⏫,524,1,2022-01-28 00:00:00
+39⏫,523,4,2022-01-27 00:00:00
+46⏫,519,3,2022-01-26 00:00:00
+42⏫,516,8,2022-01-25 00:00:00
+41⏫,508,7,2022-01-24 00:00:00
+36⏫,501,14,2022-01-23 00:00:00
+23⏫,487,1,2022-01-22 00:00:00
+26⏫,486,2,2022-01-21 00:00:00
+23⏫,484,11,2022-01-20 00:00:00
+13🔼,473,-1,2022-01-19 00:00:00
+23⏫,474,7,2022-01-18 00:00:00
+25⏫,467,2,2022-01-17 00:00:00
+25⏫,465,1,2022-01-16 00:00:00
+29⏫,464,4,2022-01-15 00:00:00
+22⏫,460,-1,2022-01-14 00:00:00
+28⏫,461,1,2022-01-13 00:00:00
+37⏫,460,9,2022-01-12 00:00:00
+32⏫,451,9,2022-01-11 00:00:00
+25⏫,442,2,2022-01-10 00:00:00
+20⏫,440,5,2022-01-09 00:00:00
+19🔼,435,-3,2022-01-08 00:00:00
+23⏫,438,5,2022-01-07 00:00:00
+24⏫,433,10,2022-01-06 00:00:00
+12🔼,423,4,2022-01-05 00:00:00
+11🔼,419,2,2022-01-04 00:00:00
+13🔼,417,-3,2022-01-03 00:00:00
+16🔼,420,4,2022-01-02 00:00:00
+14🔼,416,1,2022-01-01 00:00:00
+13🔼,415,6,2021-12-31 00:00:00
+5🔼,409,-2,2021-12-30 00:00:00
+8🔼,411,3,2021-12-29 00:00:00
+7🔼,408,4,2021-12-28 00:00:00
+2🔼,404,0,2021-12-27 00:00:00
+5🔼,404,2,2021-12-26 00:00:00
+5🔼,402,0,2021-12-25 00:00:00
+11🔼,402,-2,2021-12-24 00:00:00
+13🔼,404,1,2021-12-23 00:00:00
+15🔼,403,2,2021-12-22 00:00:00
+23⏫,401,-1,2021-12-21 00:00:00
+25⏫,402,3,2021-12-20 00:00:00
+26⏫,399,2,2021-12-19 00:00:00
+26⏫,397,6,2021-12-18 00:00:00
+25⏫,391,0,2021-12-17 00:00:00
+26⏫,391,3,2021-12-16 00:00:00
+27⏫,388,10,2021-12-15 00:00:00
+24⏫,378,1,2021-12-14 00:00:00
+24⏫,377,4,2021-12-13 00:00:00
+21⏫,373,2,2021-12-12 00:00:00
+26⏫,371,5,2021-12-11 00:00:00
+23⏫,366,1,2021-12-10 00:00:00
+30⏫,365,4,2021-12-09 00:00:00
+27⏫,361,7,2021-12-08 00:00:00
+28⏫,354,1,2021-12-07 00:00:00
+26⏫,353,1,2021-12-06 00:00:00
+27⏫,352,7,2021-12-05 00:00:00
+24⏫,345,2,2021-12-04 00:00:00
+24⏫,343,8,2021-12-03 00:00:00
+17🔼,335,1,2021-12-02 00:00:00
+28⏫,334,8,2021-12-01 00:00:00
+21⏫,326,-1,2021-11-30 00:00:00
+25⏫,327,2,2021-11-29 00:00:00
+23⏫,325,4,2021-11-28 00:00:00
+21⏫,321,2,2021-11-27 00:00:00
+32⏫,319,1,2021-11-26 00:00:00
+32⏫,318,12,2021-11-25 00:00:00
+24⏫,306,1,2021-11-24 00:00:00
+26⏫,305,3,2021-11-23 00:00:00
+30⏫,302,0,2021-11-22 00:00:00
+37⏫,302,2,2021-11-21 00:00:00
+39⏫,300,13,2021-11-20 00:00:00
+29⏫,287,1,2021-11-19 00:00:00
+31⏫,286,4,2021-11-18 00:00:00
+31⏫,282,3,2021-11-17 00:00:00
+31⏫,279,7,2021-11-16 00:00:00
+28⏫,272,7,2021-11-15 00:00:00
+25⏫,265,4,2021-11-14 00:00:00
+31⏫,261,3,2021-11-13 00:00:00
+31⏫,258,3,2021-11-12 00:00:00
+30⏫,255,4,2021-11-11 00:00:00
+30⏫,251,3,2021-11-10 00:00:00
+45⏫,248,4,2021-11-09 00:00:00
🔥+56🔥,244,4,2021-11-08 00:00:00
🔥+58🔥,240,10,2021-11-07 00:00:00
🔥+53🔥,230,3,2021-11-06 00:00:00
🔥+51🔥,227,2,2021-11-05 00:00:00
🔥+59🔥,225,4,2021-11-04 00:00:00
🔥+57🔥,221,18,2021-11-03 00:00:00
+42⏫,203,15,2021-11-02 00:00:00
+34⏫,188,6,2021-11-01 00:00:00
+34⏫,182,5,2021-10-31 00:00:00
+30⏫,177,1,2021-10-30 00:00:00
+23⏫,176,10,2021-10-29 00:00:00
🔥+66🔥,166,2,2021-10-28 00:00:00
🔥+76🔥,164,3,2021-10-27 00:00:00
🔥+93🔥,161,7,2021-10-26 00:00:00
🔥+98🔥,154,6,2021-10-25 00:00:00
+112🚀,148,1,2021-10-24 00:00:00
+116🚀,147,-6,2021-10-23 00:00:00
+122🚀,153,53,2021-10-22 00:00:00
+69😏,100,12,2021-10-21 00:00:00
🔥+61🔥,88,20,2021-10-20 00:00:00
+42⏫,68,12,2021-10-19 00:00:00
+31⏫,56,20,2021-10-18 00:00:00
+12🔼,36,5,2021-10-17 00:00:00
+9🔼,31,0,2021-10-16 00:00:00
+12🔼,31,0,2021-10-15 00:00:00
+18🔼,31,4,2021-10-14 00:00:00
+20⏫,27,1,2021-10-13 00:00:00
+23⏫,26,1,2021-10-12 00:00:00
+23⏫,25,1,2021-10-11 00:00:00
+22⏫,24,2,2021-10-10 00:00:00
+20⏫,22,3,2021-10-09 00:00:00
+17🔼,19,6,2021-10-08 00:00:00
+11🔼,13,6,2021-10-07 00:00:00
+5🔼,7,4,2021-10-06 00:00:00
+1🔼,3,1,2021-10-05 00:00:00
0🔽,2,0,2021-10-04 00:00:00
0🔽,2,0,2021-10-03 00:00:00
0🔽,2,0,2021-10-02 00:00:00
0🔽,2,0,2021-10-01 00:00:00
0🔽,2,0,2021-09-30 00:00:00
0🔽,2,0,2021-09-29 00:00:00
0🔽,2,0,2021-09-28 00:00:00
0🔽,2,0,2021-09-27 00:00:00
0🔽,2,0,2021-09-26 00:00:00
0🔽,2,0,2021-09-25 00:00:00
0🔽,2,0,2021-09-24 00:00:00
0🔽,2,0,2021-09-23 00:00:00
0🔽,2,0,2021-09-22 00:00:00
0🔽,2,0,2021-09-21 00:00:00
0🔽,2,0,2021-09-20 00:00:00
0🔽,2,0,2021-09-19 00:00:00
0🔽,2,0,2021-09-18 00:00:00
0🔽,2,0,2021-09-17 00:00:00
0🔽,2,0,2021-09-16 00:00:00
0🔽,2,0,2021-09-15 00:00:00
0🔽,2,0,2021-09-14 00:00:00
0🔽,2,0,2021-09-13 00:00:00
0🔽,2,0,2021-09-12 00:00:00
0🔽,2,0,2021-09-11 00:00:00
0🔽,2,0,2021-09-10 00:00:00
0🔽,2,0,2021-09-09 00:00:00
<nil>,2,0,2021-09-08 00:00:00
<nil>,2,0,2021-09-07 00:00:00
<nil>,2,0,2021-09-06 00:00:00
<nil>,2,0,2021-09-05 00:00:00
<nil>,2,0,2021-09-04 00:00:00
<nil>,2,0,2021-09-03 00:00:00
<nil>,2,<nil>,2021-09-02 00:00:00
